location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,381.621,382.221,0.6,382.221,386.223,left,1,0.659,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,31,31,21,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,386.223,386.823,0.6,386.824,390.825,right,1,0.517,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,32,32,40,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,390.825,391.224,0.4,391.225,395.226,right,1,0.491,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,33,33,13,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,395.226,395.776,0.55,395.777,399.778,left,1,0.55,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,34,34,34,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,399.778,401.328,1.55,401.329,405.33,right,1,0.494,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,35,35,45,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,405.33,405.83,0.5,405.831,409.832,left,1,0.499,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,36,36,5,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,409.832,411.232,1.4,411.233,415.234,left,1,0.467,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,37,37,22,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,415.234,415.834,0.6,415.834,419.835,right,1,0.459,,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,38,38,30,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,419.836,420.936,1.1,420.936,424.937,left,1,0.608,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,39,39,46,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,424.938,425.688,0.75,425.688,429.689,left,1,0.492,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,40,40,6,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,429.69,430.49,0.8,430.49,434.491,right,0,0.5,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,41,41,16,1
